I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-0.015,0.114,0.13,,,,,,,,,
-0.017,0.113,0.131,,,,,,,,,
-0.011,0.116,0.127,,,,,,,,,
-0.018,0.113,0.132,,,,,,,,,
-0.01,0.116,0.127,,,,,,,,,
-0.019,0.113,0.132,,,,,,,,,
-0.01,0.116,0.127,,,,,,,,,
-0.019,0.113,0.132,,,,,,,,,
-0.01,0.116,0.127,,,,,,,,,
-0.019,0.113,0.132,,,,,,,,,
-0.01,0.116,0.127,,,,,,,,,
-0.019,0.113,0.132,,,,,,,,,
-0.011,0.116,0.127,,,,,,,,,
-0.018,0.113,0.132,,,,,,,,,
-0.011,0.116,0.127,,,,,,,,,
-0.018,0.113,0.132,,,,,,,,,
-0.011,0.116,0.127,,,,,,,,,
-0.018,0.113,0.132,,,,,,,,,
-0.011,0.116,0.127,,,,,,,,,
-0.018,0.113,0.132,,,,,,,,,
-0.011,0.116,0.127,,,,,,,,,
-0.017,0.114,0.131,,,,,,,,,
-0.012,0.115,0.128,,,,,,,,,
-0.017,0.114,0.131,,,,,,,,,
-0.012,0.115,0.128,,,,,,,,,
-0.017,0.114,0.131,,,,,,,,,
-0.012,0.115,0.128,,,,,,,,,
-0.017,0.114,0.131,,,,,,,,,
-0.013,0.116,0.129,,,,,,,,,
-0.016,0.111,0.127,,,,,,,,,
-0.013,0.11,0.123,,,,,,,,,
-0.016,0.109,0.125,,,,,,,,,
-0.013,0.11,0.124,,,,,,,,,
-0.017,0.109,0.126,,,,,,,,,
-0.01,0.11,0.121,,,,,,,,,
-0.01,0.109,0.12,,,,,,,,,
-0.009,0.11,0.119,,,,,,,,,
-0.01,0.109,0.12,,,,,,,,,
-0.013,0.106,0.12,,,,,,,,,
-0.013,0.103,0.117,,,,,,,,,
-0.008,0.105,0.114,,,,,,,,,
-0.01,0.104,0.115,,,,,,,,,
-0.009,0.105,0.114,,,,,,,,,
-0.009,0.105,0.114,,,,,,,,,
-0.011,0.104,0.115,,,,,,,,,
-0.009,0.105,0.114,,,,,,,,,
-0.005,0.105,0.11,,,,,,,,,
-0.008,0.101,0.109,,,,,,,,,
-0.01,0.099,0.11,,,,,,,,,
-0.009,0.1,0.109,,,,,,,,,
-0.01,0.099,0.11,,,,,,,,,
-0.004,0.1,0.105,,,,,,,,,
-0.005,0.099,0.105,,,,,,,,,
-0.004,0.1,0.104,,,,,,,,,
-0.005,0.099,0.105,,,,,,,,,
-0.004,0.1,0.104,,,,,,,,,
-0.005,0.1,0.104,,,,,,,,,
-0.009,0.097,0.107,,,,,,,,,
-0.016,0.094,0.109,,,,,,,,,
-0.015,0.095,0.11,,,,,,,,,
-0.034,0.094,0.129,,,,,,,,,
-0.032,0.095,0.127,,,,,,,,,
-0.03,0.094,0.124,,,,,,,,,
-0.029,0.095,0.124,,,,,,,,,
-0.03,0.094,0.125,,,,,,,,,
-0.029,0.095,0.124,,,,,,,,,
-0.028,0.094,0.122,,,,,,,,,
-0.023,0.095,0.118,,,,,,,,,
-0.026,0.094,0.12,,,,,,,,,
-0.023,0.095,0.119,,,,,,,,,
-0.026,0.094,0.12,,,,,,,,,
-0.021,0.095,0.116,,,,,,,,,
-0.02,0.094,0.115,,,,,,,,,
-0.019,0.095,0.114,,,,,,,,,
-0.02,0.094,0.115,,,,,,,,,
-0.019,0.095,0.114,,,,,,,,,
-0.02,0.094,0.115,,,,,,,,,
-0.018,0.095,0.114,,,,,,,,,
-0.015,0.094,0.11,,,,,,,,,
-0.014,0.095,0.109,,,,,,,,,
-0.015,0.094,0.11,,,,,,,,,
-0.014,0.095,0.109,,,,,,,,,
-0.014,0.094,0.109,,,,,,,,,
-0.01,0.094,0.105,,,,,,,,,
-0.01,0.093,0.105,,,,,,,,,
-0.007,0.097,0.104,,,,,,,,,
-0.003,0.099,0.104,,,,,,,,,
-0.005,0.099,0.105,,,,,,,,,
-0.004,0.1,0.104,,,,,,,,,
-0.002,0.099,0.102,,,,,,,,,
0.001,0.1,0.098,,,,,,,,,
0.0,0.099,0.1,,,,,,,,,
0.0,0.1,0.099,,,,,,,,,
0.0,0.099,0.1,,,,,,,,,
0.0,0.1,0.099,,,,,,,,,
0.0,0.099,0.1,,,,,,,,,
0.0,0.1,0.099,,,,,,,,,
0.0,0.099,0.1,,,,,,,,,
0.0,0.1,0.099,,,,,,,,,
0.001,0.101,0.1,,,,,,,,,
0.006,0.105,0.099,,,,,,,,,
0.004,0.105,0.1,,,,,,,,,
0.005,0.104,0.099,,,,,,,,,
0.004,0.104,0.1,,,,,,,,,
0.004,0.105,0.1,,,,,,,,,
0.004,0.104,0.1,,,,,,,,,
0.007,0.105,0.097,,,,,,,,,
-0.01,0.104,0.115,,,,,,,,,
-0.022,0.104,0.127,,,,,,,,,
-0.019,0.105,0.124,,,,,,,,,
-0.019,0.104,0.124,,,,,,,,,
-0.02,0.105,0.125,,,,,,,,,
-0.02,0.104,0.124,,,,,,,,,
-0.018,0.106,0.125,,,,,,,,,
-0.008,0.116,0.124,,,,,,,,,
-0.004,0.119,0.125,,,,,,,,,
-0.013,0.114,0.127,,,,,,,,,
-0.007,0.124,0.132,,,,,,,,,
0.013,0.149,0.136,,,,,,,,,
0.009,0.154,0.144,,,,,,,,,
0.009,0.159,0.149,,,,,,,,,
0.009,0.16,0.15,,,,,,,,,
0.01,0.16,0.149,,,,,,,,,
0.009,0.159,0.15,,,,,,,,,
0.01,0.16,0.149,,,,,,,,,
0.008,0.158,0.15,,,,,,,,,
0.012,0.162,0.149,,,,,,,,,
0.014,0.164,0.15,,,,,,,,,
0.014,0.165,0.149,,,,,,,,,
0.015,0.165,0.149,,,,,,,,,
0.015,0.165,0.15,,,,,,,,,
0.013,0.162,0.149,,,,,,,,,
0.017,0.167,0.15,,,,,,,,,
0.038,0.192,0.154,,,,,,,,,
0.041,0.197,0.155,,,,,,,,,
0.038,0.193,0.154,,,,,,,,,
0.043,0.198,0.155,,,,,,,,,
0.054,0.209,0.154,,,,,,,,,
0.051,0.206,0.155,,,,,,,,,
0.049,0.204,0.154,,,,,,,,,
0.05,0.205,0.155,,,,,,,,,
0.05,0.204,0.154,,,,,,,,,
0.049,0.205,0.155,,,,,,,,,
0.05,0.204,0.154,,,,,,,,,
0.049,0.206,0.156,,,,,,,,,
0.048,0.201,0.152,,,,,,,,,
0.044,0.189,0.144,,,,,,,,,
0.045,0.18,0.135,,,,,,,,,
0.042,0.174,0.132,,,,,,,,,
0.037,0.163,0.125,,,,,,,,,
0.034,0.153,0.118,,,,,,,,,
0.035,0.145,0.11,,,,,,,,,
0.031,0.137,0.105,,,,,,,,,
0.022,0.129,0.107,,,,,,,,,
0.012,0.122,0.11,,,,,,,,,
0.01,0.119,0.109,,,,,,,,,
0.005,0.115,0.11,,,,,,,,,
0.004,0.111,0.107,,,,,,,,,
-0.011,0.107,0.118,,,,,,,,,
-0.026,0.104,0.131,,,,,,,,,
-0.025,0.099,0.125,,,,,,,,,
-0.028,0.096,0.124,,,,,,,,,
-0.031,0.094,0.125,,,,,,,,,
-0.029,0.095,0.124,,,,,,,,,
-0.03,0.094,0.125,,,,,,,,,
-0.03,0.094,0.124,,,,,,,,,
-0.033,0.091,0.125,,,,,,,,,
-0.035,0.089,0.124,,,,,,,,,
-0.035,0.09,0.125,,,,,,,,,
-0.034,0.09,0.124,,,,,,,,,
-0.035,0.089,0.125,,,,,,,,,
-0.037,0.087,0.125,,,,,,,,,
-0.04,0.084,0.124,,,,,,,,,
-0.039,0.084,0.124,,,,,,,,,
-0.035,0.085,0.12,,,,,,,,,
-0.035,0.084,0.119,,,,,,,,,
-0.034,0.086,0.119,,,,,,,,,
-0.036,0.083,0.12,,,,,,,,,
-0.039,0.08,0.119,,,,,,,,,
-0.04,0.079,0.12,,,,,,,,,
-0.039,0.079,0.119,,,,,,,,,
-0.039,0.08,0.12,,,,,,,,,
-0.04,0.079,0.119,,,,,,,,,
-0.044,0.075,0.12,,,,,,,,,
-0.044,0.075,0.119,,,,,,,,,
-0.045,0.074,0.12,,,,,,,,,
-0.045,0.075,0.119,,,,,,,,,
-0.045,0.074,0.12,,,,,,,,,
-0.039,0.074,0.116,,,,,,,,,
-0.039,0.071,0.111,,,,,,,,,
-0.04,0.069,0.109,,,,,,,,,
-0.038,0.07,0.109,,,,,,,,,
-0.034,0.069,0.105,,,,,,,,,
-0.039,0.066,0.105,,,,,,,,,
-0.037,0.064,0.103,,,,,,,,,
-0.033,0.065,0.097,,,,,,,,,
-0.029,0.064,0.094,,,,,,,,,
-0.03,0.064,0.095,,,,,,,,,
-0.029,0.061,0.091,,,,,,,,,
-0.03,0.059,0.09,,,,,,,,,
-0.027,0.06,0.088,,,,,,,,,
-0.02,0.059,0.079,,,,,,,,,
-0.015,0.055,0.071,,,,,,,,,
-0.008,0.054,0.063,,,,,,,,,
-0.001,0.055,0.056,,,,,,,,,
