epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,36.8854,1.79649,3.64701,1.67228,0.00481,0.155,0.01098,0.00522,1.45052,3.67305,1.53711,0.00077166,0.00025722,0.00077166,0.00025722,0.00077166,0.00025722,0.00077166,0.00025722
2,74.0167,1.49668,3.46836,1.45258,0.01213,0.24178,0.02358,0.01229,1.25152,3.56873,1.31902,0.00157049,0.000523496,0.00157049,0.000523496,0.00157049,0.000523496,0.00157049,0.000523496
3,115.214,1.41617,3.02341,1.3347,0.02906,0.40655,0.20728,0.13021,1.22067,3.19093,1.24792,0.00235319,0.000784395,0.00235319,0.000784395,0.00235319,0.000784395,0.00235319,0.000784395
4,170.254,1.37861,2.37116,1.30212,0.90062,0.23184,0.2846,0.18109,1.301,2.20583,1.28674,0.00311976,0.00103992,0.00311976,0.00103992,0.00311976,0.00103992,0.00311976,0.00103992
5,222.629,1.33561,1.7971,1.26589,0.88082,0.26962,0.3499,0.22865,1.30619,1.92993,1.28489,0.0038702,0.00129007,0.0038702,0.00129007,0.0038702,0.00129007,0.0038702,0.00129007
6,274.387,1.29357,1.53404,1.23994,0.57456,0.29888,0.38162,0.24657,1.31352,2.47961,1.36013,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
7,331.796,1.26417,1.35521,1.2291,0.50497,0.49015,0.53852,0.33766,1.31085,1.48159,1.29253,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
8,400.543,1.23793,1.19762,1.22129,0.85939,0.47567,0.50084,0.33074,1.17973,1.11792,1.17975,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997,0.00398991,0.00132997
9,451.664,1.22135,1.147,1.20242,0.88463,0.55098,0.58144,0.36774,1.23959,1.27594,1.23278,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
10,503.539,1.19862,1.11476,1.18058,0.89427,0.55737,0.59937,0.39546,1.14351,1.00286,1.14948,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168,0.00390503,0.00130168
11,558.028,1.18281,1.09033,1.1785,0.88676,0.54826,0.61349,0.39404,1.11821,0.96571,1.12689,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
12,617.934,1.16098,1.05356,1.15998,0.88667,0.55038,0.76699,0.47049,1.10985,0.94124,1.11974,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338,0.00382015,0.00127338
13,680.983,1.159,1.0331,1.16909,0.73303,0.69552,0.82355,0.50469,1.11123,0.91698,1.12402,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
14,756.657,1.15562,1.00935,1.15715,0.71367,0.54172,0.56044,0.34886,1.11792,0.92417,1.12461,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509,0.00373526,0.00124509
15,831.01,1.14759,0.99063,1.1534,0.76369,0.48493,0.49757,0.29808,1.19019,1.04002,1.18499,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
16,902.626,1.14797,0.98484,1.14482,0.78252,0.55593,0.57271,0.35292,1.09918,0.89002,1.11035,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
17,969.317,1.12712,0.94041,1.14513,0.82638,0.69817,0.72797,0.45654,1.08393,0.83343,1.10047,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
18,1040.36,1.12534,0.93641,1.13491,0.82181,0.61315,0.6435,0.39404,1.09816,0.87361,1.11415,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885,0.0035655,0.0011885
19,1117.88,1.1345,0.93415,1.1366,0.80537,0.74006,0.76296,0.4713,1.13779,0.88592,1.13673,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
20,1189.95,1.12182,0.93762,1.14377,0.80169,0.79491,0.81319,0.50011,1.14819,0.96379,1.15836,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021,0.00348062,0.00116021
21,1265.42,1.11562,0.89737,1.12157,0.81882,0.75707,0.77391,0.48155,1.10105,0.81779,1.11583,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
22,1333.47,1.11964,0.89776,1.12541,0.81956,0.78781,0.81386,0.49965,1.15019,0.93386,1.15511,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191,0.00339573,0.00113191
23,1417.17,1.11541,0.89066,1.11717,0.82329,0.59885,0.61878,0.39069,1.06041,0.80881,1.09008,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
24,1488.43,1.1037,0.87904,1.10957,0.84791,0.8044,0.83961,0.53213,1.07179,0.78122,1.08866,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362,0.00331085,0.00110362
25,1566.74,1.11935,0.89694,1.11806,0.82945,0.68879,0.70165,0.44763,1.04817,0.79936,1.0778,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
26,1641.04,1.10455,0.88648,1.11456,0.85485,0.80553,0.84482,0.54511,1.05495,0.81258,1.08022,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
27,1708.74,1.10599,0.85331,1.1099,0.85859,0.89023,0.92453,0.59873,1.04281,0.76112,1.07484,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
28,1774.5,1.08604,0.86845,1.10808,0.86091,0.79536,0.83627,0.54537,1.02849,0.74815,1.06759,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703,0.00314108,0.00104703
29,1838.97,1.08563,0.87005,1.11609,0.85194,0.8976,0.92909,0.59888,1.03816,0.76757,1.07317,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
30,1901.64,1.08236,0.84473,1.10508,0.84469,0.90161,0.92609,0.59356,1.06892,0.76402,1.09177,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873,0.0030562,0.00101873
31,1973.74,1.11529,0.87121,1.11282,0.85191,0.73814,0.76821,0.49278,1.03224,0.75606,1.07026,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
32,2046.78,1.09717,0.85206,1.10817,0.83577,0.80392,0.82538,0.51581,1.13177,0.90034,1.14713,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044,0.00297132,0.00099044
33,2119.45,1.08088,0.83736,1.10772,0.82789,0.72419,0.74548,0.47325,1.08527,0.82293,1.1188,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
34,2188.48,1.08185,0.8363,1.09956,0.84987,0.82486,0.84566,0.54051,1.03271,0.73907,1.07421,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146,0.00288644,0.000962146
35,2263.85,1.08451,0.84011,1.10104,0.86302,0.81155,0.85143,0.54121,1.02718,0.72191,1.06765,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
36,2333,1.09273,0.84391,1.10059,0.84242,0.86997,0.89525,0.57285,1.07588,0.81686,1.11059,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
